Feature,Importance
SpectralRollOff,0.058337601455047405
Chroma8,0.05750891232021371
Chroma10,0.05401482566423543
MFCC6,0.0531229677796381
MFCC2,0.039632550198955174
Chroma11,0.03722791678319948
Chroma7,0.03330665512249831
SpectralContrast3,0.03143484055819301
Chroma9,0.030299168317950986
MFCC12,0.02959066251196063
MFCC1,0.02806287374617278
MFCC10,0.02608514464719658
Chroma6,0.025666845936560545
RMSE,0.02237486370974051
Chroma2,0.01881618242467331
SpectralContrast1,0.01644155802765268
Chroma12,0.016438791679724396
MFCC4,0.016100706121611186
MFCC11,0.014428309717397836
Chroma4,0.014179437895151636
ZCR,0.013270142028506848
MFCC9,0.010478624352355359
MFCC13,0.008332819841924799
SpectralContrast4,0.005385459031544082
SpectralContrast6,0.0037112314339358132
SpectralContrast2,0.0025408444534595898
Chroma5,0.0005579763961345297
MFCC3,0.0
Chroma3,0.0
MFCC7,0.0
MFCC8,0.0
MFCC5,0.0
Chroma1,0.0
SpectralContrast5,0.0
SpectralContrast7,0.0
