Feature,Importance
MFCC2,0.080181815
Chroma8,0.06324695
Chroma12,0.051876806
Chroma2,0.040997032
Chroma7,0.04009695
RMSE,0.038085986
SpectralRollOff,0.035329208
Chroma9,0.034991976
Chroma4,0.034737177
MFCC1,0.034394335
SpectralContrast1,0.033997677
MFCC3,0.03151832
SpectralContrast4,0.03056668
Chroma1,0.02706199
MFCC8,0.025531933
Chroma10,0.025459558
SpectralContrast2,0.025354048
ZCR,0.025194956
MFCC4,0.024835104
Chroma5,0.02476589
SpectralContrast5,0.023456221
MFCC6,0.022751302
MFCC5,0.022216834
SpectralContrast3,0.020603815
SpectralContrast7,0.020163478
Chroma3,0.01896485
MFCC10,0.018780982
MFCC9,0.018744605
SpectralContrast6,0.017684499
Chroma6,0.017265474
MFCC7,0.016922513
Chroma11,0.015880765
MFCC11,0.014607024
MFCC12,0.012467203
MFCC13,0.011266047
