Feature,Importance
Chroma8,0.39234337262725955
Chroma5,0.3457701834059903
Chroma1,0.2815842044001219
Chroma12,0.23307813431705335
SpectralContrast3,0.2314850012379959
SpectralContrast1,0.16579168511945416
Chroma10,0.15354750041760737
Chroma9,0.13919974234337698
SpectralContrast4,0.10866796365522569
Chroma7,0.10523457618053018
Chroma3,0.07963547282816
Chroma11,0.0761812016322362
MFCC9,0.06368277093876655
RMSE,0.057586356746600426
MFCC10,0.05532376418640609
MFCC8,0.054881978138910555
Chroma4,0.05260162481557887
SpectralContrast6,0.0424320309742337
MFCC6,0.03591913413565213
MFCC11,0.024121157145160325
SpectralContrast2,0.023898523989643324
SpectralContrast7,0.018487151735828187
Chroma2,0.015423775307902027
MFCC7,0.014834294508351026
MFCC13,0.013918404488117231
MFCC3,0.013512224754107991
MFCC4,0.01169416843304171
MFCC2,0.01153355835910966
SpectralContrast5,0.011527564639834703
MFCC5,0.011412457349258007
ZCR,0.009968302689641984
Chroma6,0.005614249776960075
MFCC1,0.0017256689234969235
MFCC12,0.001164789749236113
SpectralRollOff,0.00038266611505036657
