Feature,Importance
MFCC2,0.06247448743453081
Chroma8,0.04959724365619035
SpectralContrast1,0.044105663407833236
Chroma12,0.04187471311487832
SpectralRollOff,0.041373452525678825
MFCC1,0.03714725118111929
Chroma9,0.036111273847165754
Chroma5,0.03381732593941256
RMSE,0.03367213804000853
MFCC3,0.032816102334196386
Chroma2,0.031089636212033124
Chroma7,0.030048324406828527
ZCR,0.028353105004848264
Chroma6,0.027930234235685317
SpectralContrast2,0.026991719320230683
Chroma10,0.026661751666077926
SpectralContrast7,0.026590467017704112
MFCC10,0.02523198913807879
MFCC6,0.02464652386163177
SpectralContrast3,0.023770905391362035
Chroma1,0.023383735782081933
MFCC4,0.023379344804662045
MFCC5,0.02327970027834185
Chroma3,0.022506778347055896
Chroma4,0.02245301622097091
MFCC11,0.022141412847447816
SpectralContrast6,0.021770240909379193
SpectralContrast4,0.02114847553497436
MFCC12,0.02094388544651326
MFCC13,0.020253300955607467
SpectralContrast5,0.01963255279597758
MFCC7,0.01903956282911493
Chroma11,0.018827044946478008
MFCC8,0.01870937075802988
MFCC9,0.018227269807870188
